time,event,chamber,treatment,Sex,Density
241.93666666666667,1,54,Female/20x,Female,20x
241.93666666666667,1,74,Female/20x,Female,20x
392.16055555555556,1,124,Female/20x,Female,20x
392.16055555555556,1,152,Female/20x,Female,20x
456.9288888888889,1,119,Female/20x,Female,20x
504.23555555555555,1,109,Female/20x,Female,20x
665.7102777777777,1,110,Female/20x,Female,20x
791.7755555555556,1,77,Female/20x,Female,20x
791.7755555555556,1,148,Female/20x,Female,20x
791.7755555555556,1,162,Female/20x,Female,20x
840.3269444444444,1,52,Female/20x,Female,20x
840.3269444444444,1,133,Female/20x,Female,20x
914.3488888888888,1,7,Female/20x,Female,20x
914.3488888888888,1,8,Female/20x,Female,20x
914.3488888888888,1,8,Female/20x,Female,20x
914.3488888888888,1,90,Female/20x,Female,20x
914.3488888888888,1,109,Female/20x,Female,20x
914.3488888888888,1,191,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,7,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,8,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,10,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,11,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,28,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,34,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,42,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,46,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,52,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,0,54,Female/20x,Female,20x
958.0541666666667,1,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,57,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,59,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
958.0541666666667,0,68,Female/20x,Female,20x
